Table,Variable,Frequency,Dimensions,Standard Name,Long Name,Comment,Modeling Realm,Units,Positive,Cell Methods,Cell Measures
CFsubhr,ccb,subhrPt,site time1,air_pressure_at_convective_cloud_base,Air Pressure at Convective Cloud Base,"Where convective cloud is present in the grid cell, the instantaneous cloud base altitude should be that of the bottom of the lowest level containing convective cloud. Missing data should be reported in the absence of convective cloud. The time mean should be calculated from these quantities averaging over occasions when convective cloud is present only, and should contain missing data for occasions when no convective cloud is present during the meaning period.",atmos,Pa,,area: point time: point,
CFsubhr,cct,subhrPt,site time1,air_pressure_at_convective_cloud_top,Air Pressure at Convective Cloud Top,"Where convective cloud is present in the grid cell, the instantaneous cloud top altitude should be that of the top of the highest level containing convective cloud. Missing data should be reported in the absence of convective cloud. The time mean should be calculated from these quantities averaging over occasions when convective cloud is present only, and should contain missing data for occasions when no convective cloud is present during the meaning period.",atmos,Pa,,area: point time: point,
CFsubhr,ci,subhrPt,site time1,convection_time_fraction,Fraction of Time Convection Occurs in Cell,Fraction of time that convection occurs in the grid cell.,atmos,1,,area: point time: point,
CFsubhr,cl,subhrPt,alevel site time1,cloud_area_fraction_in_atmosphere_layer,Percentage Cloud Cover,"Percentage cloud cover, including both large-scale and convective cloud.",atmos,%,,area: point time: point,
CFsubhr,cli,subhrPt,alevel site time1,mass_fraction_of_cloud_ice_in_air,Mass Fraction of Cloud Ice,Includes both large-scale and convective cloud. This is calculated as the mass of cloud ice in the grid cell divided by the mass of air (including the water in all phases) in the grid cell. It includes precipitating hydrometeors ONLY if the precipitating hydrometeors affect the calculation of radiative transfer in model.,atmos,kg kg-1,,area: point time: point,
CFsubhr,clivi,subhrPt,site time1,atmosphere_mass_content_of_cloud_ice,Ice Water Path,mass of ice water in the column divided by the area of the column (not just the area of the cloudy portion of the column). Includes precipitating frozen hydrometeors ONLY if the precipitating hydrometeor affects the calculation of radiative transfer in model.,atmos,kg m-2,,area: point time: point,
CFsubhr,clt,subhrPt,site time1,cloud_area_fraction,Total Cloud Cover Percentage,"Total cloud area fraction (reported as a percentage) for the whole atmospheric column, as seen from the surface or the top of the atmosphere. Includes both large-scale and convective cloud.",atmos,%,,area: point time: point,
CFsubhr,clw,subhrPt,alevel site time1,mass_fraction_of_cloud_liquid_water_in_air,Mass Fraction of Cloud Liquid Water,Includes both large-scale and convective cloud. Calculate as the mass of cloud liquid water in the grid cell divided by the mass of air (including the water in all phases) in the grid cells. Precipitating hydrometeors are included ONLY if the precipitating hydrometeors affect the calculation of radiative transfer in model.,atmos,kg kg-1,,area: point time: point,
CFsubhr,clwvi,subhrPt,site time1,atmosphere_mass_content_of_cloud_condensed_water,Condensed Water Path,Mass of condensed (liquid + ice) water in the column divided by the area of the column (not just the area of the cloudy portion of the column). Includes precipitating hydrometeors ONLY if the precipitating hydrometeors affect the calculation of radiative transfer in model.,atmos,kg m-2,,area: point time: point,
CFsubhr,edt,subhrPt,alevel site time1,atmosphere_heat_diffusivity,Eddy Diffusivity Coefficient for Temperature,Vertical diffusion coefficient for temperature due to parametrised eddies,atmos,m2 s-1,,area: point time: point,
CFsubhr,evspsbl,subhrPt,site time1,water_evapotranspiration_flux,Evaporation Including Sublimation and Transpiration,Evaporation at surface (also known as evapotranspiration): flux of water into the atmosphere due to conversion of both liquid and solid phases to vapor (from underlying surface and vegetation),atmos,kg m-2 s-1,,area: point time: point,
CFsubhr,evu,subhrPt,alevel site time1,atmosphere_momentum_diffusivity,Eddy Viscosity Coefficient for Momentum,Vertical diffusion coefficient for momentum due to parametrised eddies,atmos,m2 s-1,,area: point time: point,
CFsubhr,fco2antt,subhrPt,site time1,tendency_of_atmosphere_mass_content_of_carbon_dioxide_expressed_as_carbon_due_to_anthropogenic_emission,Carbon Mass Flux into Atmosphere Due to All Anthropogenic Emissions of CO2 [kgC m-2 s-1],"This is requested only for the emission-driven coupled carbon climate model runs.  Does not include natural fire sources but, includes all anthropogenic sources, including fossil fuel use, cement production, agricultural burning, and sources associated with anthropogenic land use change excluding forest regrowth.",atmos,kg m-2 s-1,,area: point time: point,
CFsubhr,fco2fos,subhrPt,site time1,tendency_of_atmosphere_mass_content_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_fossil_fuel_combustion,Carbon Mass Flux into Atmosphere Due to Fossil Fuel Emissions of CO2 [kgC m-2 s-1],"This is the prescribed anthropogenic CO2 flux from fossil fuel use, including cement production, and flaring (but not from land-use changes, agricultural burning, forest regrowth, etc.)",atmos,kg m-2 s-1,,area: point time: point,
CFsubhr,fco2nat,subhrPt,site time1,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_natural_sources,Surface Carbon Mass Flux into the Atmosphere Due to Natural Sources [kgC m-2 s-1],This is what the atmosphere sees (on its own grid).  This field should be equivalent to the combined natural fluxes of carbon  that account for natural exchanges between the atmosphere and land (nep) or ocean (fgco2) reservoirs.,atmos,kg m-2 s-1,,area: point time: point,
CFsubhr,hfls,subhrPt,site time1,surface_upward_latent_heat_flux,Surface Upward Latent Heat Flux,"The surface called 'surface' means the lower boundary of the atmosphere. 'Upward' indicates a vector component which is positive when directed upward (negative downward). The surface latent heat flux is the exchange of heat between the surface and the air on account of evaporation (including sublimation). In accordance with common usage in geophysical disciplines, 'flux' implies per unit area, called 'flux density' in physics.",atmos,W m-2,up,area: point time: point,
CFsubhr,hfss,subhrPt,site time1,surface_upward_sensible_heat_flux,Surface Upward Sensible Heat Flux,"The surface sensible heat flux, also called turbulent heat flux, is the exchange of heat between the surface and the air by motion of air.",atmos,W m-2,up,area: point time: point,
CFsubhr,hur,subhrPt,alevel site time1,relative_humidity,Relative Humidity,"The relative humidity with respect to liquid water for T> 0 C, and with respect to ice for T<0 C.",atmos,%,,area: point time: point,
CFsubhr,hurs,subhrPt,site time1 height2m,relative_humidity,Near-Surface Relative Humidity,"The relative humidity with respect to liquid water for T> 0 C, and with respect to ice for T<0 C.",atmos,%,,area: point time: point,
CFsubhr,hus,subhrPt,alevel site time1,specific_humidity,Specific Humidity,Specific humidity is the mass fraction of water vapor in (moist) air.,atmos,1,,area: point time: point,
CFsubhr,huss,subhrPt,site time1 height2m,specific_humidity,Near-Surface Specific Humidity,"Near-surface (usually, 2 meter) specific humidity.",atmos,1,,area: point time: point,
CFsubhr,latitude,fx,site,latitude,Latitude,"Latitude is positive northward; its units of degree_north (or equivalent) indicate this explicitly. In a latitude-longitude system defined with respect to a rotated North Pole, the standard name of grid_latitude should be used instead of latitude. Grid latitude is positive in the grid-northward direction, but its units should be plain degree.",atmos,degrees_north,,area: point,
CFsubhr,longitude,fx,site,longitude,Longitude,"Longitude is positive eastward; its units of degree_east (or equivalent) indicate this explicitly. In a latitude-longitude system defined with respect to a rotated North Pole, the standard name of grid_longitude should be used instead of longitude. Grid longitude is positive in the grid-eastward direction, but its units should be plain degree.",atmos,degrees_east,,area: point,
CFsubhr,mc,subhrPt,alevhalf site time1,atmosphere_net_upward_convective_mass_flux,Convective Mass Flux,The net mass flux should represent the difference between the updraft and downdraft components.  The flux is computed as the mass divided by the area of the grid cell.,atmos,kg m-2 s-1,up,area: point time: point,
CFsubhr,pfull,subhrPt,alevel site time1,air_pressure,Pressure at Model Full-Levels,Air pressure on model levels,atmos,Pa,,area: point time: point,
CFsubhr,phalf,subhrPt,alevhalf site time1,air_pressure,Pressure on Model Half-Levels,Air pressure on model half-levels,atmos,Pa,,area: point time: point,
CFsubhr,pr,subhrPt,site time1,precipitation_flux,Precipitation,includes both liquid and solid phases,atmos,kg m-2 s-1,,area: point time: point,
CFsubhr,prc,subhrPt,site time1,convective_precipitation_flux,Convective Precipitation,Convective precipitation at surface; includes both liquid and solid phases.,atmos,kg m-2 s-1,,area: point time: point,
CFsubhr,prsn,subhrPt,site time1,snowfall_flux,Snowfall Flux,At surface; includes precipitation of all forms of water in the solid phase,atmos,kg m-2 s-1,,area: point time: point,
CFsubhr,prw,subhrPt,site time1,atmosphere_mass_content_of_water_vapor,Water Vapor Path,vertically integrated through the atmospheric column,atmos,kg m-2,,area: point time: point,
CFsubhr,ps,subhrPt,site time1,surface_air_pressure,Surface Air Pressure,"surface pressure (not mean sea-level pressure), 2-D field to calculate the 3-D pressure field from hybrid coordinates",atmos,Pa,,area: point time: point,
CFsubhr,psl,subhrPt,site time1,air_pressure_at_mean_sea_level,Sea Level Pressure,Sea Level Pressure,atmos,Pa,,area: point time: point,
CFsubhr,rld,subhrPt,alevhalf site time1,downwelling_longwave_flux_in_air,Downwelling Longwave Radiation,Downwelling Longwave Radiation (includes the fluxes at the surface and TOA),atmos,W m-2,down,area: point time: point,
CFsubhr,rldcs,subhrPt,alevhalf site time1,downwelling_longwave_flux_in_air_assuming_clear_sky,Downwelling Clear-Sky Longwave Radiation,Downwelling clear-sky longwave radiation (includes the fluxes at the surface and TOA),atmos,W m-2,down,area: point time: point,
